category,text
negative,"Genetic regions that interact with loss- and gain-of-function phenotypes of deltex implicate novel genes in Drosophila Notch signaling. The Notch signaling pathway is an evolutionarily conserved mechanism that regulates many cell fate decisions. The deltex (dx) gene encodes an E3-ubiquitin ligase that binds to the intracellular domain of the Notch protein and regulates Notch signaling in a positive manner. However, it is still not clear how Dx does this. We generated a transgenic line, GMR-dx, which overexpresses dx in the developing Drosophila eye disc. The GMR-dx line showed a rough-eye phenotype, specific transformation of a photoreceptor cell (R3 to R4), and a rotation defect in the ommatidia. This phenotype was suppressed in combination with a dx loss-of-function mutant, indicating that it was due to a dx gain-of-function. We previously reported that overexpression of Dx results in the stabilization of Notch in late endosomes. Here, we found that three motifs in Dx, a region that binds to Notch, a proline-rich motif and a RING-H2 finger, were required for this stabilization, although the relative activity of these variants in this assay did not always correspond to the severity of the rough-eye phenotype. In an attempt to identify novel genes of the Notch pathway, we tested a large collection of chromosomal deficiencies for the ability to modify the eye phenotypes of the GMR-dx line. Twelve genomic segments that enhanced the rough-eye phenotype of GMR-dx were identified. To evaluate the specificity of these interactions, we then determined whether the deletions also interacted with the wing phenotypes associated with a loss-of-function mutation of dx, dx24. Analyses based on whole-genome information allowed us to conclude that we have identified two novel loci that probably include uncharacterized genes involved in Dx-mediated Notch signaling. "
positive,"Genome-wide gene expression profiling reveals that cuticle alterations and P450 detoxification are associated with deltamethrin and DDT resistance in Anopheles arabiensis populations from Ethiopia. BACKGROUND: Vector control is the main intervention in malaria control and elimination strategies. However, the development of insecticide resistance is one of the major challenges for controlling malaria vectors. Anopheles arabiensis populations in Ethiopia showed resistance against both DDT and the pyrethroid deltamethrin. Although an L1014F target-site resistance mutation was present in the voltage gated sodium channel of investigated populations, the levels of resistance indicated the presence of additional resistance mechanisms. In this study, we used genome-wide transcriptome profiling by RNAseq to assess differentially expressed genes between three deltamethrin and DDT resistant An. arabiensis field populations - Asendabo, Chewaka and Tolay - and two susceptible strains - Sekoru and Mozambique. RESULTS: Both RNAseq analysis and RT-qPCR showed that a glutathione-S-transferase, gstd3, and a cytochrome P450 monooxygenase, cyp6p4, were significantly overexpressed in the group of resistant populations compared to the susceptible strains, suggesting that the enzymes they encode play a key role in metabolic resistance against deltamethrin or DDT. Furthermore, a gene ontology enrichment analysis showed that expression changes of cuticle related genes were strongly associated with insecticide resistance. Although this did not translate in increased thickness of the procuticle, a higher cuticular hydrocarbon content was observed in a resistant population. CONCLUSION: Our transcriptome sequencing of deltamethrin and DDT resistant An. arabiensis populations from Ethiopia suggests non-target site resistance mechanisms and paves the way for further investigation of the role of cuticle composition in insecticide resistance of malaria vectors. © 2019 Society of Chemical Industry. "
positive,"Dysfunction of LSD-1 induces JNK signaling pathway-dependent abnormal development of thorax and apoptosis cell death in Drosophila melanogaster. Perilipins are evolutionarily conserved from insects to mammals. Lipid storage droplet-1 (LSD-1) is a member of the lipid droplet's surface-binding protein family and counterpart to mammalian perilipin 1. The role of LSD-1 has already been reported in lipid metabolism of Drosophila. However, the function of this gene during specific tissue development is still under investigation. Here, we found that LSD-1 is expressed in the notum of the wing imaginal disc, and notum-specific knockdown of Lsd-1 by pannir-GAL4 driver leads to split thorax phenotype in adults, suggesting an essential role of LSD-1 in development of Drosophila thorax. As overexpression of JNK homolog, bsk (basket) suppresses Lsd-1 knockdown phenotype, the role of LSD-1 in thorax development was proved to be dependent on the activity of the Drosophila c-Jun N-terminal kinase (JNK). The puckered (puc) expression led to significant decrease in the JNK activity in wing discs of Lsd-1 knockdown flies. In addition, we also detected that depletion of Lsd-1 enhances apoptotic cell death in the wing notum area. Taken together, these data demonstrated that LSD-1 functions in Drosophila thorax development by regulating JNK pathway. "
positive,"Microplitis bicoloratus bracovirus modulates innate immune suppression through the eIF4E-eIF4A axis in the insect Spodoptera litura. Eukaryotic initiation factor 4E (eIF4E) is regulated during the innate immune response. However, its translational regulation under innate immune suppression remains largely unexplored. Microplitis bicoloratus bracovirus (MbBV), a symbiotic virus harbored by the parasitoid wasp, Microplitis bicoloratus, suppresses innate immunity in parasitized Spodoptera litura. Here, we generated eIF4E dsRNA and used it to silence the eIF4E gene of S. litura, resulting in a hallmark immunosuppressive phenotype characterized by increased apoptosis of hemocytes and retardation of head capsule width development. In response to natural parasitism, loss of eIF4E function was associated with similar immunosuppression, and we detected no significant differences between the response to parasitism and treatment with eIF4E RNAi. Under MbBV infection, eIF4E overexpression significantly suppressed MbBV-induced increase in apoptosis and suppressed apoptosis to the same extent as co-expression of both eIF4E and eIF4A. There were no significant differences between MbBV-infected and uninfected larvae in which eIF4E was overexpressed. More importantly, in the eIF4E RNAi strain, eIF4A RNAi did not increase apoptosis. Collectively, our results indicate that eIF4E plays a nodal role in the MbBV-suppressed innate immune response via the eIF4E-eIF4A axis. "
positive,"In situ hybridization to the Rdl locus on polytene chromosome 3L of Anopheles stephensi. We are interested in generating a Y-autosome translocation of the Resistance to dieldrin (Rdl) locus in the malaria vector mosquito Anopheles stephensi Liston (Diptera: Culicidae), for use in sterile insect release. To ensure stability of the system, a recombination suppressing inversion can also be induced which encompasses the Rdl locus. As a first step, here we report the cloning of fragments of the Rdl gene from both An. stephensi and An. gambiae Giles using degenerate primers in the polymerase chain reaction. These fragments encode the second membrane-spanning region of the gamma-aminobutyric acid receptor and show high levels of both nucleotide and predicted amino acid identity to other Rdl-like receptors. They confirm that, as in all other arthropod species examined, dieldrin resistance in An. stephensi is associated with replacement of alanine302, in this case with a serine. In situ hybridization of the Rdl probe to polytene chromosomes of An. stephensi localizes the gene to the left arm of chromosome 3 (3L) in region 45C. Rdl localization will enable us to identify chromosomal rearrangements encompassing the Rdl locus and help anchor the genome sequence of An. gambiae to the polytene map. "
negative,"Beetle genomes in the 21st century: prospects, progress and priorities. The order Coleoptera (beetles) is arguably the most species-rich lineage of animals. Beetles exhibit an extraordinary variety of life histories and occupy most terrestrial environments. Whole genome sequences are available for 11 beetle species, only six of which have been published. Studies of beetle genomes have revealed remarkable new insights into the genomic basis and evolution of beetle life histories and other aspects of beetle biodiversity, including the genes underlying chemoperception, detoxification, and specialized plant feeding, as well as the role of horizontal gene transfer in elaboration of the beetle trophic repertoire. Nonetheless, such studies are in their infancy. The study of beetle genomes has the potential to further revolutionize our understanding of beetle biodiversity, but genomic studies of beetles remain seriously limited in scope and resolution by the very few genomes that are currently available for study. "
positive,"Identification and RNAi-based function analysis of chitinase family genes in diamondback moth, Plutella xylostella. BACKGROUND: Insect chitinases play a vital part in chitin degradation in exoskeletons and gut linings during the molting process, and therefore are considered potential targets for new insecticide designs or RNA interference (RNAi)-based pest management. Systematic functional analysis of chitinase genes has already been conducted in several insect pests, but not Plutella xylostella. RESULTS: In this study, 13 full-length chitinase transcripts were obtained in P. xylostella. Developmental and tissue-specific expression pattern analysis revealed that seven chitinase transcripts were periodically expressed during molting stage and mainly expressed in the integument or midgut, including PxCht3, PxCht5, PxCht6-2, PxCht7, PxCht8, PxCht10 and PxCht-h. RNAi-mediated knockdown of these specific expressed genes revealed that PxCht5 and PxCht10 were essential in larval molting, pupation and eclosion, and PxCht7 was indispensable only in eclosion. No significant effects were observed on insect survival or normal development when the rest chitinase transcripts were suppressed by RNAi. CONCLUSION: Our results indicated the function of P. xylostella chitinase family genes during the molting process, and may provide potential targets for RNAi-based management of P. xylostella. © 2018 Society of Chemical Industry. "
negative,"The genome of the stick insect Medauroidea extradentata is strongly methylated within genes and repetitive DNA. BACKGROUND: Cytosine DNA methylation has been detected in many eukaryotic organisms and has been shown to play an important role in development and disease of vertebrates including humans. Molecularly, DNA methylation appears to be involved in the suppression of initiation or of elongation of transcription. Resulting organismal functions are suggested to be the regulation of gene silencing, the suppression of transposon activity and the suppression of initiation of transcription within genes. However, some data concerning the distribution of methylcytosine in insect species appear to contradict such roles. PRINCIPAL FINDINGS: By comparison of MspI and HpaII restriction patterns in genomic DNA of several insects we show that stick insects (Phasmatodea) have highly methylated genomes. We isolated methylated DNA fragments from the Vietnamese Walking Stick Medauroidea extradentata (formerly known as Baculum extradentatum) and demonstrated that most of the corresponding sequences are repetitive. Bisulfite sequencing of one of these fragments and of parts of conserved protein-coding genes revealed a methylcytosine content of 12.6%, mostly found at CpG, but also at CpT and CpA dinucleotides. Corresponding depletions of CpG and enrichments of TpG and CpA dinucleotides in some highly conserved protein-coding genes of Medauroidea reach a similar degree as in vertebrates and show that CpG methylation has occurred in the germline of these insects. CONCLUSIONS: Using four different methods, we demonstrate that the genome of Medauroidea extradentata is strongly methylated. Both repetitive DNA and coding genes appear to contain high levels of methylcytosines. These results argue for similar functions of DNA methylation in stick insects as those already known for vertebrates. "
negative,"Simplify, simplify: Lifestyle and compact genome of the body louse provide a unique functional genomics opportunity. The body louse, with its recently sequenced genome, is now primed to serve as a powerful model organism for addressing fundamental questions relating to how insects interact with their environment. One characteristic of the body louse that facilitates this research is the size of its genome-the smallest insect genome sequenced to date. This diminutive genome must nonetheless control an organism that senses and responds to its environment, reacting to threats of corporal and genomic integrity. Additionally, the body louse transmits several important human diseases compared to its very close relative, the head louse, which does not. Therefore, these two organisms comprise an excellent model system for studying molecular mechanisms associated with vector competence. To understand more fully the development of vector / pathogen interactions, we have developed an in vitro bioassay system and determined that the body louse genome appears to contain the genes necessary for RNAi. The body louse will therefore be useful for determining the set of conditions permissive to the evolution of vector competence. "
positive,"Physiological functions of a methuselah-like G protein coupled receptor in Lymantria dispar Linnaeus. Insect G protein coupled receptors (GPCRs) have been identified as a highly attractive target for new generation insecticides discovery due to their critical physiological functions. However, few insect GPCRs have been functionally characterized. Here, we cloned the full length of a methuselah-like GPCR gene (Ldmthl1) from the Asian gypsy moth, Lymantria dispar. We then characterized the secondary and tertiary structures of Ldmthl1. We also predicted the global structure of this insect GPCR protein which is composed of three major domains. RNA interference of Ldmthl1 resulted in a reduction of gypsy moths' resistance to deltamethrin and suppressed expression of downstream stress-associated genes, such as P450s, glutathione S transferases, and heat shock proteins. The function of Ldmthl1 was further investigated using transgenic lines of Drosophila melanogaster. Drosophila with overexpression of Ldmthl1 showed significantly longer lifespan than control flies. Taken together, our studies revealed that the physiological functions of Ldmthl1 in L. dispar are associated with longevity and resistance to insecticide stresses. Potentially, Ldmthl1 can be used as a target for new insecticide discovery in order to manage this notorious forest pest. "
